t=2025-08-31T02:58:49-0300 lvl=info msg="no configuration paths supplied"
t=2025-08-31T02:58:49-0300 lvl=info msg="using configuration at default config path" path="/Users/guelfi/Library/Application Support/ngrok/ngrok.yml"
t=2025-08-31T02:58:49-0300 lvl=info msg="open config file" path="/Users/guelfi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-08-31T02:58:49-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-31T02:58:49-0300 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-31T02:58:49-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-31T02:58:49-0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5005 url=https://4de33c18cc26.ngrok-free.app
t=2025-08-31T02:58:49-0300 lvl=info msg="update available" obj=updater
t=2025-08-31T02:58:57-0300 lvl=info msg=start pg=/api/tunnels id=0879a0a58feed90a
t=2025-08-31T02:58:57-0300 lvl=info msg=end pg=/api/tunnels id=0879a0a58feed90a status=200 dur=1.717094ms
t=2025-08-31T02:58:57-0300 lvl=info msg="join connections" obj=join id=5e28de11f14d l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61479
t=2025-08-31T03:04:47-0300 lvl=info msg=start pg=/api/tunnels id=8c961c7c676102d8
t=2025-08-31T03:04:47-0300 lvl=info msg=end pg=/api/tunnels id=8c961c7c676102d8 status=200 dur=311.449µs
t=2025-08-31T03:05:38-0300 lvl=info msg="join connections" obj=join id=601f6474fbd3 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61528
t=2025-08-31T03:07:30-0300 lvl=info msg="join connections" obj=join id=1641d5d52261 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61566
t=2025-08-31T03:08:12-0300 lvl=info msg="join connections" obj=join id=e5961d1a5ee1 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=24f38f70f30c l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=9dddbd6c64d7 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=b142b6fcc9eb l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=76eb0f9ec769 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=f26a67022f30 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=a9906c9dddc7 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
t=2025-08-31T03:08:13-0300 lvl=info msg="join connections" obj=join id=344ac8e487c3 l=127.0.0.1:5005 r=[2804:7f0:bec2:5511:398c:c49b:3baa:524]:61583
